feature,importance
cat__gender_2,0.16612719377732216
cat__revisit_indicator_0,0.16455068671975487
cat__gender_1,0.1482217051794164
cat__revisit_indicator_1,0.13597727601444679
cat__visit_local_indicator_0,0.13319687700894334
cat__visit_local_indicator_1,0.10697746487224133
cat__visit_local_indicator_2,0.020241612346529863
num__stay_duration,0.014849368057557598
num__food_percent,0.014630130868015519
num__shopping_percent,0.009280205750283798
num__accommodation_percent,0.009180690732971732
cat__planned_activity_2.0,0.008696580924116888
cat__country_1,0.0070618551302561675
cat__planned_activity_3.0,0.005779261578544953
cat__age_2,0.004328397535810549
cat__planned_activity_4.0,0.003544786166398055
cat__planned_activity_99.0,0.003167551351550833
cat__country_2,0.0029464161975619727
num__language,0.002927291909464459
num__budget,0.0027502516728713754
num__safety,0.0025716066643480325
num__navigation,0.0025153003716470498
num__transport,0.002371096987708634
num__food,0.00230589888998026
num__accommodation,0.0022564692709160917
num__landscape,0.0021469948117270295
num__heritage,0.001992909406583649
cat__country_5,0.0018994328238773261
cat__age_3,0.0014320177855646557
cat__country_10,0.0014213292787885526
cat__age_5,0.0012658681149728401
cat__age_4,0.0011676351945606124
cat__country_8,0.0009806737230181408
cat__planned_activity_6.0,0.0009291243639821009
cat__planned_activity_1.0,0.0009189380963146095
cat__country_4,0.0009131123524501497
cat__country_3,0.0008415104761365984
cat__country_9,0.0006391833106764304
cat__country_6,0.0005992862929722725
cat__country_15,0.0005961254268885925
cat__planned_activity_7.0,0.0005203510135881252
cat__age_1,0.0004786493334730666
cat__country_7,0.00045682833180356916
cat__age_6,0.0004286939505569954
cat__country_11,0.0004238714395302936
cat__country_13,0.0004145802913805203
cat__country_14,0.0003922145285860367
cat__country_99,0.0003900235538848013
cat__country_19,0.00036882244028804445
cat__country_12,0.00036315525951813906
cat__country_18,0.00036298882952069363
cat__planned_activity_8.0,0.0003433572001072147
cat__country_16,0.0003025359192961062
cat__planned_activity_5.0,0.00025347994754935764
cat__country_17,0.0002398183809611425
cat__country_20,6.0512142783746834e-05
